ticket_id,created_at,channel,product,region,customer_tier,issue_category,ticket_text,response_time_hours,num_previous_tickets,sentiment_score,contains_urgent_words,priority_label
TKT-00001,2024-04-05 06:00:00,web,ProductA,South,Bronze,general,My subscription for ProductA is showing incorrect charges.,13.17,2,0.124,0,Low
TKT-00002,2024-03-04 23:00:00,call,ProductA,North,Bronze,account,My ProductA is not working and I need help immediately.,0.6,3,-0.162,1,Medium
TKT-00003,2024-10-13 09:00:00,email,ProductB,Central,Silver,account,"Please escalate this asap, ProductB is down for our entire team.",2.03,3,-0.361,1,High
TKT-00004,2024-10-15 12:00:00,web,ProductB,North,Platinum,account,I want to return my ProductB — it arrived broken.,9.46,1,-0.336,1,Critical
TKT-00005,2024-03-04 07:00:00,chat,ProductC,East,Gold,technical,"I cannot log into my ProductC account, please help urgently.",15.38,3,-0.417,1,Critical
TKT-00006,2024-01-30 15:00:00,web,ProductD,Central,Bronze,shipping,The ProductD application crashed and I lost all my data.,9.35,1,-1.0,1,High
TKT-00007,2024-09-03 21:00:00,email,ProductD,Central,Bronze,returns,I have been waiting for a refund on ProductD for over 3 weeks.,1.03,2,-0.37,0,Medium
TKT-00008,2024-06-07 22:00:00,chat,ProductB,East,Bronze,billing,The shipment for my ProductB has not arrived yet.,6.84,0,0.326,0,Low
TKT-00009,2024-09-09 17:00:00,call,ProductA,East,Platinum,shipping,I want to return my ProductA — it arrived broken.,10.86,3,-0.203,1,Critical
TKT-00010,2024-04-26 19:00:00,web,ProductC,North,Silver,general,I need to cancel my ProductC subscription and get a refund.,34.93,5,0.075,0,Low
TKT-00011,2024-05-29 22:00:00,call,ProductB,East,Silver,returns,I have an emergency: ProductB integration is failure for all users.,3.17,3,-0.554,1,Critical
TKT-00012,2024-07-01 18:00:00,email,ProductC,East,Bronze,technical,My ProductC stopped working after the latest update.,1.52,3,-0.812,0,Medium
TKT-00013,2024-09-27 02:00:00,web,ProductA,South,Silver,account,The ProductA dashboard is completely blank — outage?,13.06,2,0.162,1,Medium
TKT-00014,2024-06-28 08:00:00,chat,ProductD,South,Silver,shipping,I have an emergency: ProductD integration is failure for all users.,1.23,3,0.299,1,High
TKT-00015,2024-12-02 21:00:00,chat,ProductD,South,Platinum,shipping,"Duplicate charge on my account for ProductD, please fix immediately.",13.08,3,-0.598,1,Critical
TKT-00016,2024-02-13 08:00:00,chat,ProductA,South,Bronze,billing,I am getting an error code on ProductA — this is critical for my business.,12.49,5,-0.638,1,Critical
TKT-00017,2024-01-08 20:00:00,call,ProductD,Central,Platinum,account,The ProductD application crashed and I lost all my data.,3.77,3,-0.061,1,High
TKT-00018,2024-10-23 19:00:00,web,ProductA,North,Gold,general,I have been waiting for a refund on ProductA for over 3 weeks.,14.09,1,-0.235,0,Low
TKT-00019,2024-12-12 13:00:00,web,ProductB,Central,Platinum,billing,I want to return my ProductB — it arrived broken.,26.55,6,-0.464,1,Critical
TKT-00020,2024-04-20 06:00:00,chat,ProductA,South,Gold,general,Need help setting up ProductA for the first time.,16.47,2,-0.326,0,Medium
TKT-00021,2024-07-28 22:00:00,email,ProductA,North,Gold,returns,Need help setting up ProductA for the first time.,17.04,1,-0.276,0,Medium
TKT-00022,2024-02-17 05:00:00,email,ProductB,North,Bronze,technical,The ProductB dashboard is completely blank — outage?,7.15,2,-0.759,1,Critical
TKT-00023,2024-06-29 22:00:00,call,ProductB,Central,Silver,general,I want to return my ProductB — it arrived broken.,3.9,5,0.104,1,Medium
TKT-00024,2024-09-11 22:00:00,chat,ProductD,East,Silver,account,My ProductD stopped working after the latest update.,6.88,2,-0.175,0,Low
TKT-00025,2024-08-18 19:00:00,chat,ProductD,South,Platinum,billing,The shipment for my ProductD has not arrived yet.,0.53,3,-0.073,0,High
TKT-00026,2024-02-10 04:00:00,chat,ProductA,North,Silver,account,The shipment for my ProductA has not arrived yet.,6.72,4,1.0,0,Low
TKT-00027,2024-06-11 11:00:00,web,ProductB,North,Bronze,billing,"Duplicate charge on my account for ProductB, please fix immediately.",10.01,2,-0.461,1,Critical
TKT-00028,2024-11-18 16:00:00,chat,ProductC,Central,Platinum,technical,Slow performance on ProductC — response time is unacceptable.,18.04,2,0.523,0,High
